,Address,Beds,Bathrooms,Square Footage,Property type
598,"118-80 Riverton St, Saint Albans, NY 11412",6 bds,4 ba,-- sqft,- New construction
599,"303 E 57th St #37DE, New York, NY 10022",4 bds,4 ba,-- sqft,- Condo for sale
600,"1420 Pinson St, Far Rockaway, NY 11691",11 bds,4 ba,"2,925 sqft",- House for sale
601,"301 E 63rd St APT 5H, New York, NY 10065",Studio,1 ba,550 sqft,- Condo for sale
602,"1259 Grant Ave APT 5H, Bronx, NY 10456",3 bds,2 ba,"1,100 sqft",- Condo for sale
603,"420 E 51st St APT 3G, New York, NY 10022",1 bd,1 ba,"1,000 sqft",- Condo for sale
604,"111-69 158th St, Jamaica, NY 11433",3 bds,2 ba,"1,488 sqft",- Foreclosure
605,"140-19 172nd St, Jamaica, NY 11434",5 bds,2 ba,"1,600 sqft",- House for sale
606,"56 Leonard St PH 58, New York, NY 10013",5 bds,6 ba,"5,489 sqft",- Condo for sale
607,"1452 E 53rd St, Brooklyn, NY 11234",3 bds,2 ba,"1,024 sqft",- House for sale
608,"40 Winding Woods Loop, Staten Island, NY 10307",3 bds,2 ba,"1,060 sqft",- Condo for sale
609,"420 E 51st St APT 5C, New York, NY 10022",2 bds,2 ba,"1,250 sqft",- Condo for sale
610,"122-19 Nellis Street, Springfield Gardens, NY 11413",4 bds,3 ba,-- sqft,- House for sale
611,"200 E 24th St #508/509, New York, NY 10010",3 bds,2 ba,"1,450 sqft",- Condo for sale
612,"46 Sandalwood Dr, Staten Island, NY 10308",3 bds,2 ba,"1,440 sqft",- Townhouse for sale
613,"5607 196th St, Flushing, NY 11365",3 bds,1 ba,"1,400 sqft",- Foreclosure
614,"164 Bedford Ave, Staten Island, NY 10306",3 bds,2 ba,"1,780 sqft",- House for sale
615,"25-40 Shore Blvd #1D, Astoria, NY 11102",2 bds,2 ba,887 sqft,- Condo for sale
616,"446 E 118th St, New York, NY 10035",8 bds,5 ba,"4,000 sqft",- Multi-family home for sale
617,"165 Taaffe Pl #4, Brooklyn, NY 11205",2 bds,1 ba,846 sqft,- Condo for sale
618,"65 W 87th St #4, New York, NY 10024",4 bds,2 ba,-- sqft,- Condo for sale
619,"27 E 65th St APT 12E, New York, NY 10065",3 bds,2 ba,"1,850 sqft",- Condo for sale
620,"5440 Little Neck Pkwy APT 1L, Little Neck, NY 11362",Studio,1 ba,-- sqft,- Condo for sale
621,"40 Kelly Blvd, Staten Island, NY 10314",3 bds,3 ba,"2,544 sqft",- House for sale
622,"132 Prospect Pl APT 4R, Brooklyn, NY 11217",2 bds,1 ba,-- sqft,- Condo for sale
623,"13 Jay St, New York, NY 10013",4 bds,6 ba,-- sqft,- Condo for sale
624,"108-21 154th St, Jamaica, NY 11433",4 bds,3 ba,-- sqft,- House for sale
625,"233 Lincoln Rd, Brooklyn, NY 11225",3 bds,3 ba,"2,874 sqft",- Multi-family home for sale
626,"206 E 124th St APT 5A, New York, NY 10035",2 bds,2 ba,750 sqft,- Condo for sale
627,"530 Ellsworth Ave APT F3, Bronx, NY 10465",2 bds,2 ba,"1,150 sqft",- Condo for sale
628,"81-03 91st Ave, Woodhaven, NY 11421",3 bds,3 ba,"1,344 sqft",- House for sale
629,"99 Clinton St APT 9, Brooklyn, NY 11201",3 bds,2 ba,"2,550 sqft",- Condo for sale
630,"482 Winchester Ave, Staten Island, NY 10312",3 bds,2 ba,"1,440 sqft",- House for sale
631,"142-15 13th Ave, Whitestone, NY 11357",6 bds,6 ba,"7,000 sqft",- House for sale
632,"230 E 79th St APT 3C, New York, NY 10075",2 bds,2 ba,-- sqft,- Condo for sale
633,"301 E 63rd St APT 14J, New York, NY 10065",2 bds,1 ba,950 sqft,- Condo for sale
634,"350 E 30th St APT 3S, New York, NY 10016",3 bds,1 ba,960 sqft,- Condo for sale
635,"1173 E 38th St, Brooklyn, NY 11210",3 bds,3 ba,"1,300 sqft",- Foreclosure
636,"81 Hylan Blvd, Staten Island, NY 10305",2 bds,1 ba,"1,313 sqft",- House for sale
637,"5816 220th St, Bayside Hills, NY 11364",4 bds,2 ba,"1,897 sqft",- House for sale
638,"53 E 80th St, New York, NY 10075",7 bds,9 ba,"10,800 sqft",- Townhouse for sale
639,"25 Columbus Cir #75CE, New York, NY 10019",5 bds,7 ba,"4,540 sqft",- Condo for sale
640,"11 E 93rd St, New York, NY 10128",7 bds,10 ba,"7,714 sqft",- House for sale
641,"2738 E 19th St #D3-1, Brooklyn, NY 11235",1 bd,1 ba,-- sqft,- Condo for sale
642,"212 Columbia Hts, Brooklyn, NY 11201",6 bds,5 ba,"8,250 sqft",- Townhouse for sale
643,"400 E 59th St #E12, New York, NY 10022",2 bds,2 ba,-- sqft,- Condo for sale
644,"33-47 91st St APT 5F, Jackson Heights, NY 11372",3 bds,2 ba,-- sqft,- Condo for sale
645,"264 Rhine Ave, Staten Island, NY 10304",3 bds,3 ba,"1,409 sqft",- House for sale
646,"3135 Johnson Ave APT 5E, Bronx, NY 10463",3 bds,2 ba,"1,300 sqft",- Condo for sale
647,"210 Mcveigh Ave, Staten Island, NY 10314",4 bds,3 ba,"1,690 sqft",- House for sale
648,"186-15 Foch Blvd, Saint Albans, NY 11412",3 bds,2 ba,-- sqft,- House for sale
649,"45-17 20th Rd, Astoria, NY 11105",3 bds,4 ba,"3,360 sqft",- House for sale
650,"303 E 57th St APT 31G, New York, NY 10022",3 bds,4 ba,-- sqft,- Condo for sale
651,"4461 Park Ave, Bronx, NY 10457",5 bds,3 ba,"2,000 sqft",- Multi-family home for sale
652,"18-55 21st Rd, Astoria, NY 11105",5 bds,3 ba,"3,120 sqft",- Multi-family home for sale
653,"197 Sharrott Ave, Staten Island, NY 10309",3 bds,2 ba,"1,880 sqft",- House for sale
654,"1167 74th St, Brooklyn, NY 11228",3 bds,2 ba,"1,980 sqft",- Multi-family home for sale
655,"119-11 197th St, Saint Albans, NY 11412",4 bds,2 ba,"1,664 sqft",- House for sale
656,"17109 144th Ave, Jamaica, NY 11434",3 bds,2 ba,"1,531 sqft",- House for sale
657,"941 Jerome Ave APT 10F, Bronx, NY 10452",3 bds,2 ba,"1,230 sqft",- Condo for sale
658,"2711 Avenue X APT 5F, Brooklyn, NY 11235",2 bds,1 ba,"1,000 sqft",- Condo for sale
659,"128 Central Park S #11C, New York, NY 10019",2 bds,2 ba,912 sqft,- For sale by owner
660,"176 W 86th St APT 6E, New York, NY 10024",1 bd,1 ba,485 sqft,- Condo for sale
661,"96 Woodpoint Rd APT 3A, Brooklyn, NY 11211",2 bds,2 ba,"1,050 sqft",- Condo for sale
662,"115 Mariners Ln, Staten Island, NY 10303",2 bds,2 ba,"1,396 sqft",- House for sale
663,"1131 Brooklyn Ave, Brooklyn, NY 11203",4 bds,2 ba,-- sqft,- House for sale
664,"60-11 Broadway #4R, Woodside, NY 11377",3 bds,2 ba,"1,622 sqft",- Condo for sale
665,"94 Thompson St #T, New York, NY 10012",3 bds,4 ba,"3,500 sqft",- Condo for sale
666,"93-19 215th Pl, Queens Village, NY 11428",4 bds,2 ba,"1,560 sqft",- House for sale
667,"1776 Pitman Ave, Bronx, NY 10466",3 bds,2 ba,"1,530 sqft",- Multi-family home for sale
668,"27 Pleasant Valley Ave, Staten Island, NY 10304",5 bds,5 ba,"1,770 sqft",- House for sale
669,"40 Fort Hill Cir, Staten Island, NY 10301",3 bds,3 ba,"1,196 sqft",- House for sale
670,"21007 34th Rd, Flushing, NY 11361",4 bds,2 ba,"1,737 sqft",- House for sale
671,"4742 Carpenter Ave, Bronx, NY 10470",2 bds,1 ba,"1,100 sqft",- House for sale
672,"59-37 69th Pl, Maspeth, NY 11378",3 bds,2 ba,"1,680 sqft",- House for sale
673,"56 W 119th St APT 2C, New York, NY 10026",1 bd,1 ba,-- sqft,- Condo for sale
674,"243-25 Mayda St, Rosedale, NY 11422",5 bds,4 ba,"1,624 sqft",- Multi-family home for sale
675,"425 Park Ave S APT 19D, New York, NY 10016",2 bds,2 ba,"1,000 sqft",- Condo for sale
676,"1551 Park Pl APT 1D, Brooklyn, NY 11213",2 bds,1 ba,"1,000 sqft",- Condo for sale
677,"126 Winham Ave, Staten Island, NY 10306",3 bds,3 ba,"1,200 sqft",- House for sale
678,"195 Swinton Ave, Bronx, NY 10465",4 bds,3 ba,"2,838 sqft",- Multi-family home for sale
679,"8080 Cypress Ave, Glendale, NY 11385",3 bds,1 ba,-- sqft,- House for sale
680,"6113 23rd Ave APT 4A, Brooklyn, NY 11204",2 bds,2 ba,"1,026 sqft",- Condo for sale
681,"165 E 94th St, New York, NY 10128",5 bds,6 ba,"5,100 sqft",- House for sale
682,"109-31 197th St, Saint Albans, NY 11412",5 bds,2 ba,-- sqft,- Foreclosure
683,"4 W 21st St APT 7D, New York, NY 10010",2 bds,3 ba,"1,518 sqft",- Apartment for sale
684,"135 W 52nd St PH 5, New York, NY 10019",5 bds,5 ba,"4,373 sqft",- Condo for sale
685,"142 E 49th St APT 2B, New York, NY 10017",1 bd,1 ba,-- sqft,- Apartment for sale
686,"29-27 163rd St, Flushing, NY 11358",3 bds,1 ba,"1,710 sqft",- House for sale
687,"70-12 71st Pl, Ridgewood, NY 11385",3 bds,3 ba,-- sqft,- Multi-family home for sale
688,"18720 Peck Ave, Fresh Meadows, NY 11365",3 bds,3 ba,"1,521 sqft",- House for sale
689,"227-23 88th Ave, Queens Village, NY 11427",2 bds,1 ba,-- sqft,- Condo for sale
690,"8808 104th St, Jamaica, NY 11418",3 bds,3 ba,-- sqft,- House for sale
691,"150-15 Village Rd #46C, Jamaica, NY 11435",3 bds,2 ba,"1,200 sqft",- Condo for sale
692,"1638 71st St, Brooklyn, NY 11204",3 bds,1 ba,"1,020 sqft",- House for sale
693,"15 Carolyn Ct, Staten Island, NY 10309",6 bds,5 ba,"4,680 sqft",- House for sale
694,"68 Garden St #B3C, Brooklyn, NY 11206",2 bds,2 ba,"1,060 sqft",- Condo for sale
695,"42-39 194th St, Flushing, NY 11358",3 bds,2 ba,"1,600 sqft",- House for sale
696,"45 Tudor City Pl APT 416, New York, NY 10017",Studio,1 ba,"215,715 sqft",- Condo for sale
697,"338 Clinton Ave APT 4, Brooklyn, NY 11205",2 bds,2 ba,875 sqft,- Condo for sale
698,"626 E 14th St APT 16, New York, NY 10009",1 bd,1 ba,-- sqft,- Condo for sale
699,"64-81 83rd St, Middle Village, NY 11379",3 bds,2 ba,-- sqft,- House for sale
700,"10 E 76th St, New York, NY 10021",7 bds,14 ba,"12,380 sqft",- Multi-family home for sale
701,"93-18 Francis Lewis Blvd, Queens Village, NY 11428",3 bds,3 ba,-- sqft,- House for sale
702,"210 W 256th St, Bronx, NY 10471",3 bds,2 ba,"1,555 sqft",- House for sale
703,"138 E 36th St APT 1B, New York, NY 10016",1 bd,1 ba,570 sqft,- Condo for sale
704,"157 W 57th St APT 46C, New York, NY 10019",4 bds,5 ba,"3,466 sqft",- Condo for sale
705,"216-12 104th Ave, Queens Village, NY 11429",4 bds,3 ba,-- sqft,- House for sale
706,"11224 Northern Blvd E #3A, Corona, NY 11368",1 bd,1 ba,-- sqft,- Condo for sale
707,"796 Richmond Rd, Staten Island, NY 10304",3 bds,3 ba,"1,849 sqft",- Condo for sale
708,"73-20 67th Dr, Middle Village, NY 11379",5 bds,3 ba,"1,800 sqft",- Multi-family home for sale
709,"49 Greene St #LOFT3, New York, NY 10013",3 bds,4 ba,"3,834 sqft",- Condo for sale
710,"12717 9th Ave, Flushing, NY 11356",3 bds,2 ba,-- sqft,- House for sale
711,"44 72nd St, Brooklyn, NY 11209",2 bds,3 ba,"1,160 sqft",- House for sale
712,"3535 Kings College Pl #11, Bronx, NY 10467",2 bds,1 ba,850 sqft,- Condo for sale
713,"99-25 60th Ave, Corona, NY 11368",1 bd,1 ba,-- sqft,- Condo for sale
714,"120 E 78th St, New York, NY 10075",8 bds,9 ba,"11,000 sqft",- Townhouse for sale
715,"45 E 22nd St #60, New York, NY 10010",4 bds,5 ba,"4,664 sqft",- Condo for sale
716,"2565 Flatbush Ave #C-1, Brooklyn, NY 11234",2 bds,2 ba,"1,200 sqft",- House for sale
717,"3316 Mickle Ave, Bronx, NY 10469",4 bds,2 ba,-- sqft,- Foreclosure
718,"173 E 64th St, New York, NY 10065",4 bds,5 ba,"3,500 sqft",- House for sale
719,"111 W 57th St #68, New York, NY 10019",3 bds,4 ba,"3,873 sqft",- Condo for sale
720,"625 E 11th St APT A3, New York, NY 10009",2 bds,2 ba,"1,031 sqft",- Condo for sale
721,"2156 Cruger Ave APT 4L, Bronx, NY 10462",1 bd,1 ba,700 sqft,- Condo for sale
722,"1010 Park Ave #PENTHOUSE, New York, NY 10028",4 bds,6 ba,"6,745 sqft",- Condo for sale
723,"140-39 34th Ave #6L, Flushing, NY 11354",1 bd,1 ba,700 sqft,- Condo for sale
724,"231 68th St APT 102, Brooklyn, NY 11220",2 bds,2 ba,"1,127 sqft",- Apartment for sale
725,"1238 Prospect Ave #3B, Bronx, NY 10459",3 bds,2 ba,"1,068 sqft",- Condo for sale
726,"217 Berkeley Pl, Brooklyn, NY 11217",6 bds,5 ba,"5,415 sqft",- House for sale
727,"68-12 Burns St #C2, Forest Hills, NY 11375",2 bds,1 ba,-- sqft,- Condo for sale
728,"425 E 9th St APT 1A, New York, NY 10009",2 bds,2 ba,"1,400 sqft",- Condo for sale
729,"72 Richardson St #10, Brooklyn, NY 11211",2 bds,1 ba,-- sqft,- Condo for sale
730,"112 Audley St, Jamaica, NY 11415",6 bds,4 ba,"2,496 sqft",- House for sale
731,"84-70 129th St #2V, Kew Gardens, NY 11415",2 bds,1 ba,750 sqft,- Condo for sale
732,"10465 Springfield Blvd, Jamaica, NY 11429",5 bds,2 ba,"1,842 sqft",- Foreclosure
733,"100 W 57th St APT 12K, New York, NY 10019",1 bd,1 ba,950 sqft,- Condo for sale
734,"31 S Elliott Pl, Brooklyn, NY 11217",4 bds,3 ba,"3,196 sqft",- Multi-family home for sale
735,"31-85 Crescent St APT 411, Astoria, NY 11106",2 bds,1 ba,800 sqft,- Condo for sale
736,"449 Home Ave, Staten Island, NY 10305",5 bds,3 ba,"1,908 sqft",- Multi-family home for sale
737,"2525 W 2nd St APT 1B, Brooklyn, NY 11223",2 bds,1 ba,950 sqft,- Condo for sale
738,"94-18 222nd St, Queens Village, NY 11428",3 bds,2 ba,-- sqft,- House for sale
739,"5425 Valles Ave APT 5F, Bronx, NY 10471",2 bds,1 ba,750 sqft,- Condo for sale
740,"137 W 87th St, New York, NY 10024",5 bds,3 ba,"3,560 sqft",- House for sale
741,"116-09 167th St, Jamaica, NY 11434",3 bds,2 ba,"1,224 sqft",- House for sale
742,"26 Fingerboard Rd, Staten Island, NY 10305",4 bds,4 ba,"1,464 sqft",- House for sale
743,"173 Hicks St #5AB, Brooklyn, NY 11201",2 bds,2 ba,"1,200 sqft",- Condo for sale
744,"418 E 59th St #B, New York, NY 10022",3 bds,3 ba,"2,100 sqft",- Apartment for sale
745,"125-05 84th Ave #6E, Kew Gardens, NY 11415",1 bd,1 ba,725 sqft,- Condo for sale
746,"303 E 57th St APT 9G, New York, NY 10022",2 bds,2 ba,-- sqft,- Condo for sale
747,"1912 61st St, Brooklyn, NY 11204",3 bds,2 ba,"1,440 sqft",- House for sale
748,"2311 E 14th St, Brooklyn, NY 11229",4 bds,2 ba,"1,659 sqft",- House for sale
749,"330 W 87th St, New York, NY 10024",7 bds,7 ba,"5,088 sqft",- Townhouse for sale
750,"190 E 72nd St APT 29C, New York, NY 10021",3 bds,3 ba,-- sqft,- Condo for sale
751,"144-67 Charter Rd #13C, Jamaica, NY 11435",3 bds,2 ba,"1,400 sqft",- Condo for sale
752,"0 Ridge Blvd, Brooklyn, NY 11220",43.4 acres lot,- Lot / Land for sale,empty,empty
753,"24339 144th Ave, Jamaica, NY 11422",5 bds,3 ba,"1,456 sqft",- House for sale
754,"104-14 118th St, South Richmond Hill, NY 11419",4 bds,3 ba,-- sqft,- Multi-family home for sale
755,"1931 Gerritsen Ave, Brooklyn, NY 11229",3 bds,2 ba,"1,248 sqft",- House for sale
756,"90-01 153rd Ave #2, Howard Beach, NY 11414",3 bds,1 ba,-- sqft,- Condo for sale
757,"235-14 148th Rd, Rosedale, NY 11422",3 bds,3 ba,"1,350 sqft",- House for sale
758,"530 E 84th St APT 4J, New York, NY 10028",4 bds,4 ba,"2,000 sqft",- Condo for sale
759,"904 E 37th St, Brooklyn, NY 11210",3 bds,2 ba,"1,374 sqft",- House for sale
760,"16334 87th St, Howard Beach, NY 11414",4 bds,3 ba,"2,140 sqft",- House for sale
761,"233 E 5th St, Brooklyn, NY 11218",3 bds,2 ba,"2,261 sqft",- Multi-family home for sale
762,"168-11 116th Ave, Jamaica, NY 11434",6 bds,2 ba,-- sqft,- House for sale
763,"9014 51st Ave #4A, Flushing, NY 11373",3 bds,3 ba,944 sqft,- Condo for sale
764,"269 W 87th St #4B, New York, NY 10024",3 bds,4 ba,"2,193 sqft",- Apartment for sale
765,"17 E 17th St, New York, NY 10003",5 bds,5 ba,"3,971 sqft",- Condo for sale
766,"79-26 212th St, Oakland Gardens, NY 11364",3 bds,2 ba,"1,701 sqft",- House for sale
767,"26-11 212th St, Bayside, NY 11360",5 bds,4 ba,"1,986 sqft",- New construction
768,"526 W 158th St #55, New York, NY 10032",2 bds,1 ba,600 sqft,- Condo for sale
769,"3747 Amboy Rd APT 9A, Staten Island, NY 10308",2 bds,1 ba,750 sqft,- Apartment for sale
770,"5 Tudor City Pl APT 629, New York, NY 10017",Studio,1 ba,-- sqft,- Condo for sale
771,"927 E 32nd St, Brooklyn, NY 11210",3 bds,2 ba,"1,280 sqft",- House for sale
772,"229 W 144th St APT 53, New York, NY 10030",2 bds,1 ba,800 sqft,- Condo for sale
773,"10 E 73rd St, New York, NY 10021",6 bds,9 ba,"8,800 sqft",- Townhouse for sale
774,"8101 11th Ave, Brooklyn, NY 11228",5 bds,3 ba,"2,480 sqft",- Multi-family home for sale
775,"1849 Lurting Ave, Bronx, NY 10461",3 bds,1 ba,"1,430 sqft",- House for sale
776,"83-00 Talbot St #BB1, Kew Gardens, NY 11415",3 bds,2 ba,-- sqft,- Condo for sale
777,"242-47 61st Ave #2, Little Neck, NY 11362",2 bds,1 ba,869 sqft,- Condo for sale
778,"137 Grimsby St, Staten Island, NY 10306",3 bds,3 ba,"1,400 sqft",- Foreclosure
779,"112-17 207th St, Queens Village, NY 11429",4 bds,3 ba,"1,672 sqft",- House for sale
780,"2026 Batchelder St, Brooklyn, NY 11229",3 bds,3 ba,"2,235 sqft",- House for sale
781,"160-15 Powells Cove Blvd #B303, Whitestone, NY 11357",1 bd,1 ba,-- sqft,- Condo for sale
782,"179 Monroe St APT 4A, Brooklyn, NY 11216",2 bds,2 ba,"1,200 sqft",- Condo for sale
783,"35 E Franklin Ln, Staten Island, NY 10306",2 bds,2 ba,"1,152 sqft",- House for sale
784,"45 Tudor City Pl APT 318, New York, NY 10017",2 bds,2 ba,"215,715 sqft",- Condo for sale
785,"2170 Brigham St APT 4A, Brooklyn, NY 11229",3 bds,1 ba,"1,000 sqft",- Condo for sale
786,"121-31 235th St, Rosedale, NY 11422",4 bds,3 ba,-- sqft,- House for sale
787,"1395 E 15th St, Brooklyn, NY 11230",4 bds,3 ba,"1,300 sqft",- House for sale
788,"66-14 79th Pl, Middle Village, NY 11379",3 bds,2 ba,"2,000 sqft",- House for sale
789,"23-17 126th St, College Pt, NY 11356",3 bds,2 ba,"1,886 sqft",- House for sale
790,"6701 Alderton St, Flushing, NY 11374",3 bds,2 ba,"1,701 sqft",- House for sale
791,"229-07 88th Ave, Queens Village, NY 11427",4 bds,3 ba,"1,480 sqft",- Multi-family home for sale
792,"219 E 7th St APT 1, New York, NY 10009",Studio,1 ba,-- sqft,- Condo for sale
793,"6901 Avenue X, Brooklyn, NY 11234",3 bds,3 ba,-- sqft,- House for sale
794,"320 E 35th St APT 6H, New York, NY 10016",Studio,1 ba,475 sqft,- Condo for sale
795,"15 Central Park W APT 6D, New York, NY 10023",4 bds,5 ba,"3,333 sqft",- Condo for sale
796,"10710 142nd St, Jamaica, NY 11435",4 bds,2 ba,"1,568 sqft",- House for sale
797,"205 W 57th St #11BDE, New York, NY 10019",2 bds,2 ba,-- sqft,- Condo for sale
798,"2741 E 28th St APT 1F, Brooklyn, NY 11235",1 bd,1 ba,800 sqft,- Condo for sale
